TimePST,apartment,workplace,apartmentToWorkplace,workplaceToApartment
2025-08-21 13:34:01 PDT,WestSeattle,Kent,29.583333333333332,27.95
2025-08-21 13:34:01 PDT,WestSeattle,Renton,23.516666666666666,23.466666666666665
2025-08-21 13:34:01 PDT,Issaquah,Kent,37.766666666666666,37.06666666666667
2025-08-21 13:34:01 PDT,Issaquah,Renton,31.116666666666667,27.4
2025-08-21 13:35:00 PDT,QueenAnne,Kent,33.2,35.36666666666667
2025-08-21 13:35:00 PDT,QueenAnne,Renton,26.816666666666666,30.966666666666665
2025-08-21 13:35:00 PDT,SLU,Kent,30.5,33.85
2025-08-21 13:35:00 PDT,SLU,Renton,24.216666666666665,29.35
2025-08-21 13:35:00 PDT,WestSeattle,Kent,30.116666666666667,27.85
2025-08-21 13:35:00 PDT,WestSeattle,Renton,23.733333333333334,23.4
2025-08-21 13:35:00 PDT,Issaquah,Kent,37.833333333333336,37.21666666666667
2025-08-21 13:35:00 PDT,Issaquah,Renton,31.383333333333333,27.166666666666668
2025-08-21 13:36:00 PDT,QueenAnne,Kent,33.21666666666667,34.68333333333333
2025-08-21 13:36:00 PDT,QueenAnne,Renton,27.033333333333335,30.416666666666668
2025-08-21 13:36:00 PDT,SLU,Kent,30.166666666666668,33.86666666666667
2025-08-21 13:36:00 PDT,SLU,Renton,24.25,29.1
2025-08-21 13:36:00 PDT,WestSeattle,Kent,29.9,27.883333333333333
2025-08-21 13:36:00 PDT,WestSeattle,Renton,23.9,23.333333333333332
2025-08-21 13:36:00 PDT,Issaquah,Kent,37.8,36.85
2025-08-21 13:36:00 PDT,Issaquah,Renton,31.283333333333335,27.116666666666667
2025-08-21 13:37:01 PDT,QueenAnne,Kent,33.06666666666667,34.416666666666664
2025-08-21 13:37:01 PDT,QueenAnne,Renton,26.6,30.45
2025-08-21 13:37:01 PDT,SLU,Kent,30.433333333333334,33.55
2025-08-21 13:37:01 PDT,SLU,Renton,24.266666666666666,28.85
2025-08-21 13:37:01 PDT,WestSeattle,Kent,29.983333333333334,27.7
2025-08-21 13:37:01 PDT,WestSeattle,Renton,23.733333333333334,23.283333333333335
2025-08-21 13:37:01 PDT,Issaquah,Kent,37.85,36.65
2025-08-21 13:37:01 PDT,Issaquah,Renton,31.3,26.95
2025-08-21 13:38:00 PDT,QueenAnne,Kent,33.03333333333333,35.11666666666667
2025-08-21 13:38:00 PDT,QueenAnne,Renton,26.533333333333335,30.366666666666667
2025-08-21 13:38:00 PDT,SLU,Kent,30.316666666666666,33.733333333333334
2025-08-21 13:38:00 PDT,SLU,Renton,24.133333333333333,29.0
2025-08-21 13:38:00 PDT,WestSeattle,Kent,29.716666666666665,27.833333333333332
2025-08-21 13:38:00 PDT,WestSeattle,Renton,23.5,23.533333333333335
2025-08-21 13:38:00 PDT,Issaquah,Kent,38.11666666666667,37.083333333333336
2025-08-21 13:38:00 PDT,Issaquah,Renton,31.816666666666666,27.016666666666666
2025-08-21 13:39:01 PDT,QueenAnne,Kent,32.733333333333334,34.93333333333333
2025-08-21 13:39:01 PDT,QueenAnne,Renton,26.716666666666665,30.25
2025-08-21 13:39:01 PDT,SLU,Kent,30.266666666666666,33.516666666666666
2025-08-21 13:39:01 PDT,SLU,Renton,24.35,28.683333333333334
2025-08-21 13:39:01 PDT,WestSeattle,Kent,29.533333333333335,27.783333333333335
2025-08-21 13:39:01 PDT,WestSeattle,Renton,23.6,23.45
2025-08-21 13:39:01 PDT,Issaquah,Kent,38.583333333333336,36.88333333333333
2025-08-21 13:39:01 PDT,Issaquah,Renton,31.95,27.016666666666666
2025-08-21 14:00:00 PDT,QueenAnne,Kent,35.266666666666666,35.31666666666667
2025-08-21 14:00:00 PDT,QueenAnne,Renton,28.5,32.0
2025-08-21 14:00:00 PDT,SLU,Kent,34.233333333333334,34.71666666666667
2025-08-21 14:00:00 PDT,SLU,Renton,27.5,28.916666666666668
2025-08-21 14:00:00 PDT,WestSeattle,Kent,30.083333333333332,27.366666666666667
2025-08-21 14:00:00 PDT,WestSeattle,Renton,23.4,22.0
2025-08-21 14:00:00 PDT,Issaquah,Kent,42.1,36.61666666666667
2025-08-21 14:00:00 PDT,Issaquah,Renton,33.5,28.366666666666667
2025-08-21 14:30:00 PDT,QueenAnne,Kent,38.56666666666667,41.25
2025-08-21 14:30:00 PDT,QueenAnne,Renton,33.06666666666667,38.916666666666664
2025-08-21 14:30:00 PDT,SLU,Kent,38.93333333333333,38.35
2025-08-21 14:30:00 PDT,SLU,Renton,30.516666666666666,34.61666666666667
2025-08-21 14:30:00 PDT,WestSeattle,Kent,32.45,30.05
2025-08-21 14:30:00 PDT,WestSeattle,Renton,25.016666666666666,25.25
2025-08-21 14:30:00 PDT,Issaquah,Kent,44.13333333333333,39.25
2025-08-21 14:30:00 PDT,Issaquah,Renton,34.916666666666664,28.133333333333333
